final_state	final_gen	BL_start	start_pop_tot	start_pond_pop	colonies_at_BL_start	colonies_at_end	BL_peak	total_ponds
279	3	16	10	253	1	8	17	1	133
280	3	8	5	305	3	8	14	1	150
281	3	9	5	477	1	12	16	1	127
282	3	12	7	227	1	8	12	1	84
283	3	7	6	220	1	7	7	0	139
284	3	7	6	523	1	7	8	0	99
285	3	29	13	227	1	6	25	1	100
286	3	11	7	240	1	12	17	1	119
287	3	7	6	352	1	8	6	0	139
288	3	8	6	206	4	10	14	1	130
289	3	13	9	294	1	10	14	1	93
290	3	13	5	336	2	7	22	1	110
291	3	17	8	436	1	6	12	1	78
292	3	7	6	251	1	6	7	0	93
293	3	11	9	401	1	7	7	1	102
294	3	15	11	211	1	8	11	1	109
295	3	26	18	222	1	10	18	1	68
296	3	16	8	340	1	6	15	1	89
297	3	32	13	209	2	5	21	1	100
298	3	12	11	918	2	4	5	0	71
299	3	36	5	246	2	2	16	39	65
300	3	14	9	220	1	12	21	1	139
301	3	11	10	207	1	8	8	0	73
302	3	9	6	432	1	8	10	1	114
303	3	16	9	236	1	5	8	1	67
304	3	12	10	300	1	5	7	1	58
305	3	10	6	363	1	8	10	1	74
306	3	36	18	207	2	8	37	1	128
307	3	8	7	230	1	5	9	0	147
308	3	8	5	353	1	4	5	1	116
309	3	9	8	537	1	5	6	0	71
310	3	13	11	391	1	9	11	1	88
311	3	12	10	412	1	13	17	1	144
312	3	28	20	237	1	5	10	1	92
313	3	34	7	768	1	5	38	5	133
314	3	20	12	330	1	8	11	1	112
315	3	11	5	447	1	4	7	1	60
316	3	23	12	290	1	13	39	1	137
317	3	27	11	284	1	10	31	1	132
318	3	80	7	544	2	8	137	211	137
319	3	10	9	243	1	12	11	0	115
320	3	26	9	331	1	5	25	1	128
321	3	7	6	313	1	5	6	0	54
322	3	19	10	265	1	5	8	1	61
323	3	7	5	290	1	5	7	1	121
324	3	8	7	571	3	3	3	0	52
325	3	15	11	262	1	7	10	1	112
326	3	6	5	244	1	9	9	0	107
327	3	8	5	277	1	3	3	1	90
328	3	6	5	256	2	10	11	0	102
329	3	13	11	396	1	10	13	1	77
330	3	8	6	222	1	10	9	1	128
331	3	8	6	204	1	10	13	1	121
332	3	7	6	309	1	11	12	0	138
333	3	7	6	298	1	7	6	0	73
334	3	18	6	225	1	7	14	1	140
335	3	6	5	201	1	6	6	0	110
336	3	43	12	211	1	6	35	29	77
337	3	11	9	281	1	8	8	1	97
338	3	28	10	230	1	5	30	1	107
339	3	8	5	293	1	6	7	1	108
340	3	6	5	210	1	7	8	0	119
341	3	10	9	431	1	8	11	0	101
342	3	12	7	208	2	3	4	1	54
343	3	16	8	216	1	6	10	1	57
344	3	9	5	305	1	7	12	1	135
345	3	11	7	358	1	6	8	1	95
346	3	7	5	286	1	4	5	1	67
347	3	28	8	299	1	6	22	1	146
348	3	12	11	391	1	7	6	0	84
349	3	9	6	290	1	12	14	1	103
350	3	307	8	313	1	6	125	598	125
351	3	11	8	258	1	8	10	1	120
352	3	24	10	297	3	6	16	1	56
353	3	10	9	469	1	4	3	0	81
354	3	22	15	266	2	4	7	1	60
355	3	11	7	451	1	6	8	1	109
356	3	25	10	245	1	7	31	1	141
357	3	16	15	221	1	7	6	0	52
358	3	10	6	289	1	10	13	1	149
359	3	7	6	577	1	10	9	0	132
360	3	15	11	289	1	5	5	1	51
361	3	6	5	212	1	9	10	0	106
362	3	24	9	216	1	8	21	14	101
363	3	12	5	399	1	8	10	1	61
364	3	22	10	259	1	5	22	1	97
365	3	9	7	202	1	6	9	1	100
366	3	47	9	335	1	6	76	102	119
367	3	28	10	237	1	4	9	1	103
368	3	14	11	341	1	6	6	1	119
369	3	7	5	271	1	7	8	1	143
370	3	19	12	473	1	4	4	1	55
371	3	6	5	287	1	12	12	0	144
372	3	59	7	262	2	7	125	43	132
373	3	24	11	594	1	4	10	1	59
374	3	11	7	236	1	9	19	1	136
375	3	11	5	324	1	11	20	1	127
376	3	25	9	215	2	6	31	1	131
377	3	8	7	228	1	6	5	0	52
378	3	12	6	301	2	6	9	1	58
379	3	10	8	507	1	6	7	1	77
380	3	10	7	665	2	5	6	1	60
381	3	29	5	394	1	7	61	8	117
382	3	12	10	1070	1	10	14	1	106
383	3	10	5	329	3	6	11	1	97
384	3	14	9	213	1	6	10	1	66
385	3	8	7	274	1	7	7	0	108
386	3	11	6	291	1	7	12	1	89
387	3	7	5	333	1	6	6	1	66
388	3	12	5	346	1	5	12	1	75
389	3	31	5	277	1	9	63	60	124
390	3	24	6	410	1	7	19	1	83
391	3	19	15	213	1	11	14	1	78
392	3	35	5	225	1	9	30	60	78
393	3	26	10	298	1	7	29	1	121
394	3	38	19	592	1	7	13	72	70
